argv[0]=
argv[0]=
pybullet build time: Nov 28 2023 23:52:03
global_step=515000, episodic_return=1118.721435546875
global_step=516000, episodic_return=1081.62841796875
SPS: 741
global_step=517000, episodic_return=1075.6199951171875
global_step=518000, episodic_return=1073.2891845703125
SPS: 741
global_step=519000, episodic_return=1058.485107421875
global_step=520000, episodic_return=1015.077880859375
SPS: 742
global_step=521000, episodic_return=912.0964965820312
global_step=522000, episodic_return=1133.08984375
SPS: 743
global_step=523000, episodic_return=1066.952392578125
global_step=524000, episodic_return=1073.3533935546875
SPS: 743
global_step=525000, episodic_return=1139.346923828125
global_step=526000, episodic_return=1093.264404296875
SPS: 744
global_step=527000, episodic_return=1106.8974609375
global_step=528000, episodic_return=1080.025146484375
SPS: 745
global_step=529000, episodic_return=1004.03271484375
global_step=530000, episodic_return=1059.2100830078125
SPS: 745
global_step=531000, episodic_return=1054.3826904296875
global_step=532000, episodic_return=1116.683349609375
SPS: 746
global_step=533000, episodic_return=1102.8831787109375
global_step=534000, episodic_return=1018.4400634765625
SPS: 747
global_step=535000, episodic_return=1096.0548095703125
global_step=536000, episodic_return=1105.0556640625
SPS: 747
global_step=537000, episodic_return=1127.291748046875
global_step=538000, episodic_return=1076.493408203125
SPS: 748
global_step=539000, episodic_return=1104.6412353515625
global_step=540000, episodic_return=1032.12646484375
SPS: 749
global_step=541000, episodic_return=1117.64501953125
global_step=542000, episodic_return=1046.50634765625
SPS: 749
global_step=543000, episodic_return=1102.191162109375
global_step=544000, episodic_return=1080.29833984375
SPS: 750
global_step=545000, episodic_return=1078.869873046875
global_step=546000, episodic_return=1086.5609130859375
SPS: 750
global_step=547000, episodic_return=1139.5333251953125
global_step=548000, episodic_return=1111.31640625
SPS: 751
global_step=549000, episodic_return=1105.9354248046875
global_step=550000, episodic_return=1173.7774658203125
SPS: 752
global_step=551000, episodic_return=1156.4296875
global_step=552000, episodic_return=1175.1541748046875
SPS: 752
global_step=553000, episodic_return=1116.0234375
global_step=554000, episodic_return=1138.37841796875
global_step=555000, episodic_return=1131.9422607421875
SPS: 753
global_step=556000, episodic_return=1106.64208984375
global_step=557000, episodic_return=297.765869140625
SPS: 753
global_step=558000, episodic_return=1162.947509765625
global_step=559000, episodic_return=1146.2506103515625
SPS: 754
global_step=560000, episodic_return=1153.14990234375
global_step=561000, episodic_return=1170.0543212890625
